 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.48405936E-02  3.48834378E-01 -1.21067498E-01
   1.48805952E-02  3.48308843E-01 -1.21133423E-01
   1.49205968E-02  3.47778939E-01 -1.21198427E-01
   1.49605984E-02  3.47244685E-01 -1.21262512E-01
   1.50006000E-02  3.46706100E-01 -1.21325679E-01
   1.50406016E-02  3.46163203E-01 -1.21387932E-01
   1.50806032E-02  3.45616012E-01 -1.21449274E-01
   1.51206048E-02  3.45064547E-01 -1.21509705E-01
   1.51606064E-02  3.44508826E-01 -1.21569230E-01
   1.52006080E-02  3.43948867E-01 -1.21627850E-01
   1.52406096E-02  3.43384690E-01 -1.21685567E-01
   1.52806112E-02  3.42816313E-01 -1.21742385E-01
   1.53206128E-02  3.42243755E-01 -1.21798306E-01
   1.53606144E-02  3.41667034E-01 -1.21853331E-01
   1.54006160E-02  3.41086168E-01 -1.21907464E-01
   1.54406176E-02  3.40501177E-01 -1.21960706E-01
   1.54806192E-02  3.39912077E-01 -1.22013061E-01
   1.55206208E-02  3.39318889E-01 -1.22064529E-01
   1.55606224E-02  3.38721629E-01 -1.22115115E-01
   1.56006240E-02  3.38120316E-01 -1.22164820E-01
   1.56406256E-02  3.37514969E-01 -1.22213647E-01
   1.56806272E-02  3.36905605E-01 -1.22261598E-01
   1.57206288E-02  3.36292242E-01 -1.22308674E-01
   1.57606304E-02  3.35674899E-01 -1.22354880E-01
   1.58006320E-02  3.35053593E-01 -1.22400216E-01
   1.58406336E-02  3.34428343E-01 -1.22444686E-01
   1.58806352E-02  3.33799166E-01 -1.22488291E-01
   1.59206368E-02  3.33166080E-01 -1.22531034E-01
   1.59606384E-02  3.32529103E-01 -1.22572918E-01
   1.60006400E-02  3.31888253E-01 -1.22613944E-01
   1.60406416E-02  3.31243547E-01 -1.22654115E-01
   1.60806432E-02  3.30595003E-01 -1.22693433E-01
   1.61206448E-02  3.29942639E-01 -1.22731901E-01
   1.61606464E-02  3.29286471E-01 -1.22769520E-01
   1.62006480E-02  3.28626519E-01 -1.22806293E-01
   1.62406496E-02  3.27962799E-01 -1.22842223E-01
   1.62806512E-02  3.27295328E-01 -1.22877311E-01
   1.63206528E-02  3.26624124E-01 -1.22911560E-01
   1.63606544E-02  3.25949205E-01 -1.22944973E-01
   1.64006560E-02  3.25270587E-01 -1.22977550E-01
   1.64406576E-02  3.24588288E-01 -1.23009296E-01
